trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.5, 'e': 0.36318540841606234}",25,13,-40.3262699130357,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.7654140519453434}",25,0,-24.805627706345796,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9802426408101081}",25,16,-35.12584666363237,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.9550736440472949}",25,0,-141.9695333320655,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6960693098638897}",35,4,-166.06924575055635,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.26664293235993725}",35,23,-8.196502877348633,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.22806693448309956}",20,11,4.219449877847205,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.6669380616522619}",20,0,-82.8762237191332,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9425194910508831}",20,0,-87.40250951708487,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9873392775238264}",25,0,-94.92234868582305,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.7904239741978156}",20,6,-36.78222659085465,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.39998531498835127}",25,0,-86.06824467372499,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.08838369930580554}",30,13,-56.30081439891027,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.5551133015206257}",25,12,13.581139655841412,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.8859318072699817}",25,0,-108.25103533089971,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9998433086476912}",30,0,-90.67326672557056,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.8689582973139933}",20,14,11.397403099210717,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.5253219888177297}",20,0,-62.113968381616914,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.05306853621402457}",20,9,-0.08432326617260943,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.4321779448847783}",20,0,-114.95695584681337,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.8116121923430246}",20,0,-121.38003600171325,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9923354691509287}",35,0,-244.7770724808119,"{0: 17, 1: 3, 2: 10, 3: 3, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.9301004142012893}",35,0,-263.1283142849795,"{0: 20, 1: 3, 2: 5, 3: 3, 4: 4}",0
97,False,"{'a': 0.5, 'e': 0.6401443394691997}",20,0,-38.06322793204856,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.1934586046207122}",25,6,-24.084928392589827,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.3005925437436371}",20,2,-76.89624143855032,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
100,False,"{'a': 0.5, 'e': 0.7210481538680822}",35,0,-126.49060255120737,"{0: 24, 1: 4, 2: 3, 3: 3, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9649660284921133}",20,0,-140.11112535907446,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.9726265649744922}",20,0,-130.54041351195337,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.7421541968137826}",20,0,-46.45966332411296,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.32997659774057014}",20,6,-31.677770532866795,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.16299078079570548}",20,10,4.9341255920781855,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.616052331690985}",20,0,-140.61664742041486,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
107,False,"{'a': 0.5, 'e': 0.9182827862121189}",30,16,-185.23872160151961,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 5}",1
108,False,"{'a': 0.5, 'e': 0.9956855884367365}",20,0,-73.68725846728844,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
